Word,Definition,Points
aaa,,165
aah,,180
aahed,,425
aahing,,605
aahs,,282
aal,,165
aalii,,396
aaliis,,570
aals,,264
aam,,175
aani,,264
aardvark,,1194
aardvarks,,1598
aardwolf,,1182
aardwolves,,2096
aargh,,425
aaron,,396
aaronic,,819
aaronical,,1508
aaronite,,1095
aaronitic,,1508
aarrgh,,605
aarrghh,,871
aaru,,264
aas,,165
aasvogel,,1145
aasvogels,,1538
aba,,175
ababdeh,,881
ababua,,605
abac,,288
abaca,,425
abacay,,631
abacas,,605
abacate,,840
abacaxi,,912
abaci,,425
abacinate,,1538
abacination,,2687
abacisci,,1170
abaciscus,,1568
abacist,,840
aback,,454
abacli,,605
abacot,,605
abacterial,,2042
abactinal,,1538
abactinally,,2752
abaction,,1145
abactor,,840
abaculi,,840
abaculus,,1145
abacus,,605
abacuses,,1145
abada,,418
abaddon,,840
abadejo,,902
abadengo,,1145
abadia,,596
abadite,,829
abaff,,454
abaft,,432
abay,,294
abayah,,639
abaisance,,1538
abaised,,829
abaiser,,819
abaisse,,819
abaissed,,1132
abaka,,439
abakas,,622
abalation,,1508
abalienate,,2007
abalienated,,2666
abalienating,,3483
abalienation,,3457
abalone,,819
abalones,,1120
abama,,425
abamp,,439
abampere,,1170
abamperes,,1568
abamps,,622
aband,,418
abandon,,829
abandonable,,2709
abandoned,,1538
abandonedly,,2752
abandonee,,1523
abandoner,,1523
abandoners,,2024
abandoning,,2042
abandonment,,2709
abandonments,,3534
abandons,,1132
abandum,,850
abanet,,588
abanga,,596
abanic,,605
abannition,,2007
abantes,,819
abapical,,1170
abaptiston,,2042
abaptistum,,2078
abarambo,,1170
abaris,,588
abarthrosis,,2709
abarticular,,2687
abarticulation,,5870
abas,,276
abase,,410
abased,,596
abasedly,,1170
abasedness,,2024
abasement,,1538
abasements,,2042
abaser,,588
abasers,,819
abases,,588
abasgi,,596
abash,,432
abashed,,861
abashedly,,1612
abashedness,,2730
abashes,,850
abashing,,1170
abashless,,1553
abashlessly,,2773
abashment,,1583
abashments,,2096
abasia,,588
abasias,,819
abasic,,605
abasing,,829
abasio,,588
abask,,439
abassi,,588
abassin,,819
abastard,,1132
abastardize,,2859
abastral,,1120
abatable,,1145
abatage,,829
abate,,410
abated,,596
abatement,,1538
abatements,,2042
abater,,588
abaters,,819
abates,,588
abatic,,605
abating,,829
abatis,,588
abatised,,1132
abatises,,1120
abatjour,,1207
abatjours,,1612
abaton,,588
abator,,588
abators,,819
abattage,,1132
abattis,,819
abattised,,1523
abattises,,1508
abattoir,,1120
abattoirs,,1508
abattu,,588
abattue,,819
abatua,,588
abature,,819
abaue,,410
abave,,432
abaxial,,892
abaxile,,892
abaze,,475
abb,,185
abba,,288
abbacy,,648
abbacies,,1170
abbacomes,,1598
abbadide,,1170
abbaye,,631
abbandono,,1553
abbas,,425
abbasi,,605
abbasid,,850
abbassi,,840
abbasside,,1553
abbate,,605
abbatial,,1145
abbatical,,1568
abbatie,,840
abbe,,288
abbey,,446
abbeys,,631
abbeystead,,2114
abbeystede,,2114
abbes,,425
abbess,,605
abbesses,,1145
abbest,,605
abbevillian,,2752
abby,,306
abbie,,425
abboccato,,1598
abbogada,,1170
abbot,,425
abbotcy,,892
abbotcies,,1568
abbotnullius,,3509
abbotric,,1170
abbots,,605
abbotship,,1612
abbotships,,2132
abbott,,605
abbozzo,,1026
abbr,,288
abbrev,,631
abbreviatable,,4706
abbreviate,,2096
abbreviated,,2773
abbreviately,,3663
abbreviates,,2752
abbreviating,,3612
abbreviation,,3586
abbreviations,,4644
abbreviator,,2752
abbreviatory,,3663
abbreviators,,3586
abbreviature,,3586
abbroachment,,3689
abc,,185
abcess,,605
abcissa,,840
abcoulomb,,1598
abd,,180
abdal,,418
abdali,,596
abdaria,,829
abdat,,418
abderian,,1132
abderite,,1132
abdest,,596
abdicable,,1583
abdicant,,1157
abdicate,,1157
abdicated,,1568
abdicates,,1553
abdicating,,2078
abdication,,2060
abdications,,2709
abdicative,,2114
abdicator,,1553
abdiel,,596
abditive,,1170
abditory,,1170
abdom,,432
abdomen,,850
abdomens,,1157
abdomina,,1157
abdominal,,1553
abdominales,,2709
abdominalia,,2709
abdominalian,,3534
abdominally,,2773
abdominals,,2060
abdominoanterior,,9683
abdominocardiac,,7802
abdominocentesis,,9790
abdominocystic,,6167
abdominogenital,,7623
abdominohysterectomy,,26401
abdominohysterotomy,,20799
abdominoposterior,,12454
abdominoscope,,4706
abdominoscopy,,4799
abdominothoracic,,10057
abdominous,,2060
abdominovaginal,,7757
abdominovesical,,7802
abduce,,613
abduced,,861
abducens,,1157
abducent,,1157
abducentes,,2060
abduces,,850
abducing,,1170
abduct,,613
abducted,,1170
abducting,,1568
abduction,,1553
abductions,,2060
abductor,,1157
abductores,,2060
abductors,,1553
abducts,,850
abe,,175
abeam,,425
abear,,410
abearance,,1538
abecedaire,,2060
abecedary,,1598
abecedaria,,2060
abecedarian,,2709
abecedarians,,3534
abecedaries,,2709
abecedarium,,2752
abecedarius,,2709
abed,,282
abede,,418
abedge,,605
abegge,,605
abey,,294
abeyance,,1182
abeyances,,1583
abeyancy,,1219
abeyancies,,2096
abeyant,,850
abeigh,,622
abel,,276
abele,,410
abeles,,588
abelia,,588
abelian,,819
abelicea,,1145
abelite,,819
abelmoschus,,2795
abelmosk,,1194
abelmosks,,1598
abelmusk,,1194
abelonian,,1508
abeltree,,1120
abencerrages,,3534
abend,,418
abends,,596
abenteric,,1538
abepithymia,,2859
aberdavine,,2078
